id,name,toolindex_page,url,category,email,linkedin,email_source,fetched_date,is_claimed,founder_name
"207","1-Click Linux","https://strategic-flow-audit.replit.app/directory/1-click-linux-207","https://1clicklinux.org","Other","support@1clicklinux.org","https://www.linkedin.com/in/arusekk/","https://1clicklinux.org","Sat Aug 01 2026 00:00:00 GMT+0000 (Coordinated Universal Time)","no",
"506","AI Coloring Page","https://strategic-flow-audit.replit.app/directory/ai-coloring-page-506","https://aicolor.page","AI Tools","support@aicolor.page",,"https://aicolor.page","Sat Aug 01 2026 00:00:00 GMT+0000 (Coordinated Universal Time)","no",
"443","AI Remove Text","https://strategic-flow-audit.replit.app/directory/ai-remove-text-443","https://remove-text.com/","AI Tools","support@remove-text.com",,"https://remove-text.com/","Sat Aug 01 2026 00:00:00 GMT+0000 (Coordinated Universal Time)","no",
"511","AI Song Maker","https://strategic-flow-audit.replit.app/directory/ai-song-maker-511","https://aisongmaker.top/","AI Tools","hello@aisongmaker.top",,"https://aisongmaker.top/","Sat Aug 01 2026 00:00:00 GMT+0000 (Coordinated Universal Time)","no",
"635","AIThumbnail.so","https://strategic-flow-audit.replit.app/directory/aithumbnail-so-635","https://aithumbnail.so","AI Tools","sacha@aithumbnail.so",,"https://aithumbnail.so","Sat Aug 01 2026 00:00:00 GMT+0000 (Coordinated Universal Time)","no",
"95","AO3dle","https://strategic-flow-audit.replit.app/directory/ao3dle-95","https://ao3dle.com/","Other","support@ao3dle.com",,"https://ao3dle.com/","Sat Aug 01 2026 00:00:00 GMT+0000 (Coordinated Universal Time)","no",
"77","ATS Checker","https://strategic-flow-audit.replit.app/directory/ats-checker-77","https://atschecker.app","HR & Recruiting","support@atschecker.app",,"https://atschecker.app","Sat Aug 01 2026 00:00:00 GMT+0000 (Coordinated Universal Time)","no",
"192","AVE","https://strategic-flow-audit.replit.app/directory/ave-192","https://www.aivideoeditor.app/","Productivity","support@tinythings.app",,"https://www.aivideoeditor.app/","Sat Aug 01 2026 00:00:00 GMT+0000 (Coordinated Universal Time)","no",
"547","Action Figure AI Generator","https://strategic-flow-audit.replit.app/directory/action-figure-ai-generator-547","https://actionfiguregenerator.org","AI Tools","support@actionfiguregenerator.org",,"https://actionfiguregenerator.org","Sat Aug 01 2026 00:00:00 GMT+0000 (Coordinated Universal Time)","no",
"522","Aepto – AI Domain Monitoring","https://strategic-flow-audit.replit.app/directory/aepto-ai-domain-monitoring-522","https://aepto.com","AI Tools","sales@aepto.com","https://www.linkedin.com/company/aeptosoftware/","https://aepto.com","Sat Aug 01 2026 00:00:00 GMT+0000 (Coordinated Universal Time)","no",
